timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666874907056,7457,HomePage,200,OK,setUp Thread Group 1-5,text,true,,2167,454,20,20,https://blazedemo.com/index.php,7456,0,6889
1666874907305,7214,HomePage,200,OK,setUp Thread Group 1-13,text,true,,2226,454,20,20,https://blazedemo.com/index.php,7213,0,6630
1666874906957,7576,HomePage,200,OK,setUp Thread Group 1-1,text,true,,2264,454,20,20,https://blazedemo.com/index.php,7562,0,7000
1666874913957,658,HomePage,200,OK,setUp Thread Group 1-6,text,true,,2176,454,20,20,https://blazedemo.com/index.php,639,0,0
1666874914038,596,HomePage,200,OK,setUp Thread Group 1-8,text,true,,2166,454,19,19,https://blazedemo.com/index.php,591,0,0
1666874907701,6964,HomePage,200,OK,setUp Thread Group 1-25,text,true,,2363,454,19,19,https://blazedemo.com/index.php,6964,0,5658
1666874914293,501,HomePage,200,OK,setUp Thread Group 1-2,text,true,,2257,454,19,19,https://blazedemo.com/index.php,500,0,0
1666874914386,453,HomePage,200,OK,setUp Thread Group 1-15,text,true,,2364,454,18,18,https://blazedemo.com/index.php,453,0,0
1666874914341,558,HomePage,200,OK,setUp Thread Group 1-21,text,true,,2200,454,18,18,https://blazedemo.com/index.php,503,0,0
1666874914457,492,HomePage,200,OK,setUp Thread Group 1-22,text,true,,2165,454,18,18,https://blazedemo.com/index.php,491,0,0
1666874914519,568,HomePage,200,OK,setUp Thread Group 1-13,text,true,,2173,454,18,18,https://blazedemo.com/index.php,568,0,0
1666874914514,633,HomePage,200,OK,setUp Thread Group 1-5,text,true,,2358,454,18,18,https://blazedemo.com/index.php,601,0,0
1666874907207,7978,HomePage,200,OK,setUp Thread Group 1-10,text,true,,2351,454,18,18,https://blazedemo.com/index.php,7977,0,6832
1666874914666,580,HomePage,200,OK,setUp Thread Group 1-25,text,true,,2218,454,18,18,https://blazedemo.com/index.php,574,0,0
